2	37
3	37
4	7
5	118
6	7
7	143
8	73
9	118
10	7
11	118
12	143
13	7
14	7
15	73
16	118
17	142
18	73
19	7
20	118
21	73
22	118
23	143
24	143
25	7
26	7
27	12
28	7
29	7
30	73
31	143
32	73
33	143
34	12
35	143
36	118
37	37
38	12
39	7
40	7
41	12
42	7
43	143
44	118
45	73
46	37
47	7
48	143
49	7
50	143
51	7
52	118
53	73
54	37
55	12
56	143
57	12
58	7
59	143
60	143
61	37
62	73
63	37
64	7
65	37
66	143
67	118
68	12
69	12
70	37
71	12
72	142
73	143
74	12
75	7
76	12
77	12
78	7
79	142
80	7
81	7
82	12
83	12
84	143
85	73
86	143
87	118
88	118
89	37
90	142
91	142
92	7
93	143
94	73
95	73
96	143
97	7
98	7
99	12
100	118
101	37
102	12
103	142
104	7
105	12
106	143
107	7
108	12
109	12
110	12
111	12
112	37
113	7
114	7
115	37
116	143
117	37
118	37
119	118
120	7
121	118
122	73
122	142
123	143
123	134
124	7
124	118
125	73
125	143
125	134
126	142
126	143
126	7
126	134
127	73
127	142
127	143
127	7
127	118
127	134
128	7
128	118
129	73
129	142
129	7
129	118
129	134
130	143
130	134
131	142
131	143
132	143
132	134
133	142
133	134
134	142
134	143
135	143
135	134
136	7
136	118
137	73
137	118
138	7
138	134
139	7
139	118
139	73
140	142
140	143
140	142
140	142
141	118
141	134
141	7
142	118
142	134
143	143
143	134
143	7
144	12
144	134
145	143
145	134
145	7
146	118
146	134
